#SampleID	Dataset	FullName	Site	Condition
NC02_43_a	1	NC02_43_a_Noumea_ND	Noumea	ND
NC03_02_a	2	NC03_02_a_Noumea_ND	Noumea	ND
NC03_03_b	3	NC03_03_b_Noumea_ND	Noumea	ND
NC12_160_a	4	NC12_160_a_LaFoa_male	LaFoa	male
NC13_129Dd_a	5	NC13_129Dd_a_Noumea_male	Noumea	male
NC13_138_b	6	NC13_138_b_Poya_male	Poya	male
NC13_139_c	7	NC13_139_c_Poya_male	Poya	male
NC13_141_d	8	NC13_141_d_Poya_male	Poya	male
NC13_142_e	9	NC13_142_e_Poya_male	Poya	male
NC13_143_f	10	NC13_143_f_Poya_male	Poya	male
NC13_130_a	11	NC13_130_a_Noumea_Femelle	Noumea	Femelle
NC13_132_b	12	NC13_132_b_Noumea_Femelle	Noumea	Femelle
NC13_134_c	13	NC13_134_c_Poya_Femelle	Poya	Femelle
NC13_135_d	14	NC13_135_d_Poya_Femelle	Poya	Femelle
NC13_136_e	15	NC13_136_e_Poya_Femelle	Poya	Femelle
NC13_137_f	16	NC13_137_f_Poya_Femelle	Poya	Femelle
NC13_140_g	17	NC13_140_g_Poya_Femelle	Poya	Femelle
NC13_144_h	18	NC13_144_h_Poya_femelle	Poya	femelle
NC13_131_i	19	NC13_131_i_Noumea_ND	Noumea	ND
NC19_200_a	20	NC19_200_a_Voh_Femelle	Voh	Femelle
NC19_201_b	21	NC19_201_b_Voh_Femelle	Voh	Femelle
NC19_202_c	22	NC19_202_c_Voh_Femelle	Voh	Femelle
NC19_203_d	23	NC19_203_d_Voh_Femelle	Voh	Femelle
NC19_204_e	24	NC19_204_e_Voh_Femelle	Voh	Femelle
NC13_128_a	25	NC13_128_a_stranding_control	stranding	control
